region,name,link,title
BA,Iveta Ugrová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_UgrovaIveta.pdf,"Iveta Ugrová (PDF, 859 kB)"
BA,Adriana Uhríková,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_UhrikovaAdriana.pdf,"Adriana Uhríková (PDF, 56 kB)"
BA,Matej Vagač,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_VagacMatej.pdf,"Matej Vagač (PDF, 871 kB)"
BA,Dušan Velič,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_VelicDusan.pdf,"Dušan Velič (PDF, 108 kB)"
BA,Michal Vlček,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_VlcekMichal.pdf,"Michal Vlček (PDF, 106 kB)"
BA,Vladimíra Vydrová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_VydrovaVladimira.pdf,"Vladimíra Vydrová (PDF, 856 kB)"
BA,Martin Zaťovič,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_ZatovicMartin.pdf,"Martin Zaťovič (PDF, 435 kB)"
BA,Štefan Zima,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_ZimaStefan.pdf,"Štefan Zima (PDF, 990 kB)"
BB,Atilla Agócs,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_AgocsAttila.pdf,"Atilla Agócs (PDF, 870 kB)"
BB,Jana Ambrošová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_AmbrosovaJana.pdf,"Jana Ambrošová (PDF, 112 kB)"
BB,Peter Antal,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_AntalPeter.pdf,"Peter Antal (PDF, 122 kB)"
BB,Dominika Árvaiová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_ArvaiovaDominika.pdf,"Dominika Árvaiová (PDF, 820 kB)"
BB,Pavol Balážik,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_BalazikPavol.pdf,"Pavol Balážik (PDF, 113 kB)"
BB,Branislav Baran,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_BaranBranislav.pdf,"Branislav Baran (PDF, 2 MB)"
BB,Martina Brisudová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_BrisudovaMartina.pdf,"Martina Brisudová (PDF, 427 kB)"
BB,Július Buchta,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_BuchtaJulius.pdf,"Július Buchta (PDF, 56 kB)"
BB,Slavomír Ciglan,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_CiglanSlavomir.pdf,"Slavomír Ciglan (PDF, 842 kB)"
BB,Michal Dolňan,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_DolnanMichal.pdf,"Michal Dolňan (PDF, 887 kB)"
BB,Marian Dorkin,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_DorkinMarian.pdf,"Marian Dorkin (PDF, 863 kB)"
BB,Renáta Endrödyová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_EndrodyovaRenata.pdf,"Renáta Endrödyová (PDF, 1 MB)"
BB,Peter Fačka,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_FackaPeter.pdf,"Peter Fačka (PDF, 1 MB)"
BB,Erika Gyöfrfiová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_GyorfiovaErika.pdf,"Erika Gyöfrfiová (PDF, 798 kB)"
BB,Ivan Hazucha,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_HazuchaIvan.pdf,"Ivan Hazucha (PDF, 2 MB)"
BB,Stanislav Horník,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_HornikStanislav.pdf,"Stanislav Horník (PDF, 124 kB)"
BB,Branislav Jaďuď,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_JadudBranislav.pdf,"Branislav Jaďuď (PDF, 489 kB)"
BB,Diana Javorčíková,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_JavorcikovaDiana.pdf,"Diana Javorčíková (PDF, 1 MB)"
BB,Daniel Karas,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_KarasDaniel.pdf,"Daniel Karas (PDF, 456 kB)"
BB,Alena Kazimírová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_KazimirovaAlena.pdf,"Alena Kazimírová (PDF, 387 kB)"
BB,Peter Kmeť,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_KmetPeter.pdf,"Peter Kmeť (PDF, 775 kB)"
BB,Zsolt Lajka,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_56kampan_bb/BB_LajkaZsolt.pdf,"Zsolt Lajka (PDF, 723 kB)"
